p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.286592378350676e-154,0.32420431061796995,0.281,0.12,1.568935676400131e-149,16,IMP4
6.274502201400874e-154,0.4321933268777882,0.43,0.218,2.2965305507347336e-149,16,IRF2BP2
6.536079439356995e-154,0.3239952895559366,0.477,0.246,2.3922704355990536e-149,16,SNHG15
6.35410545009864e-153,0.35059657352773943,0.676,0.404,2.3256661357906033e-148,16,LRRFIP1
8.783859603120977e-153,0.2855957255524161,0.378,0.181,3.214980453338309e-148,16,RAB14
1.3775511604662843e-152,0.27722145895169936,0.296,0.129,5.041975002422647e-148,16,UBE2K
2.5368607996472317e-152,0.39933861250500646,0.573,0.331,9.285164212788833e-148,16,YY1
7.446798694464117e-152,0.28145273873263044,0.257,0.106,2.7256027901608115e-147,16,NSFL1C
2.9922372143135215e-151,0.5188098595858046,0.537,0.298,1.095188742810892e-146,16,SPAG9
3.5825632900863895e-151,0.33174561439488626,0.36,0.171,1.3112539898045194e-146,16,PRMT1
8.597252621860359e-151,0.5193609955509448,0.272,0.117,3.1466804321271097e-146,16,MAP4K5
6.297632987125594e-150,0.4085635314531655,0.386,0.19,2.3049966496178384e-145,16,GADD45A
2.3689233624112545e-149,0.4394407916448806,0.852,0.688,8.670496398761432e-145,16,SNHG29
2.9225819307921286e-149,0.2755238563847948,0.411,0.202,1.069694212489227e-144,16,MT-ND6
2.1918921300204726e-148,0.27225794456357355,0.407,0.204,8.022544385087932e-144,16,FUNDC2
2.7942429790691896e-148,0.3871510238717115,0.87,0.744,1.0227208727691141e-143,16,EEF1B2
4.7111382615654146e-148,0.44037160749734194,0.268,0.114,1.7243237151155574e-143,16,DSE
7.771710619645843e-148,0.2859580752152038,0.653,0.39,2.8445238038965753e-143,16,RBM8A
8.4783019492718e-148,0.33365936139395624,0.357,0.17,3.1031432964529717e-143,16,PTBP1
7.86044440946874e-147,0.37766281836915616,0.484,0.26,2.8770012583096536e-142,16,LRRFIP2
1.8968847034914562e-146,0.40315634178939463,0.275,0.119,6.94278770324908e-142,16,U2SURP
3.0074808585122997e-146,0.33857480848347876,0.92,0.731,1.1007680690240869e-141,16,MT-ND5
7.491585447218006e-146,0.2540118391358889,0.319,0.146,2.741995189536262e-141,16,TIMM17A
3.63951702421745e-145,0.3225613270698351,0.528,0.291,1.332099626033829e-140,16,ACTR3
6.210393058249941e-145,0.27099904201616454,0.332,0.155,2.273065963250061e-140,16,RNF11
6.237909948727597e-145,0.46788148642099014,0.343,0.164,2.2831374203337877e-140,16,TSC22D2
4.834553536880582e-144,0.3023620082650792,0.344,0.164,1.7694949400336617e-139,16,NASP
1.5580091587372453e-143,0.2682776512666609,0.383,0.188,5.702469321894192e-139,16,NAA50
2.1349426967726833e-143,0.3798823589432243,0.861,0.723,7.814103764457698e-139,16,EEF1G
3.6397995502313826e-143,0.4834046608868119,0.361,0.178,1.3322030333801884e-138,16,ACTN1
4.444099966149733e-143,0.504355474578058,0.326,0.153,1.6265850286104636e-138,16,ASH1L
5.238401802726163e-142,0.36411028103028276,0.807,0.623,1.9173074438158028e-137,16,HINT1
1.9682079809292696e-141,0.29304891596073235,0.365,0.177,7.20383803099922e-137,16,XRCC5
2.657403209737778e-141,0.3112409650279314,0.364,0.178,9.726361487961243e-137,16,WNK1
3.7776196813623355e-141,0.2874804386082027,0.258,0.11,1.3826465795754285e-136,16,SNW1
5.428697825131241e-141,0.4108600767961321,0.874,0.725,1.9869576909762855e-136,16,EEF2
5.573519683330454e-141,0.4296736099483518,0.281,0.125,2.0399639392957795e-136,16,ACSL3
6.24436414910205e-141,0.35328408283243995,0.744,0.5,2.285499722212841e-136,16,SAP18
1.0893421036325895e-140,0.31951520446257486,0.916,0.942,3.987101033505641e-136,16,RPS19
2.3098965265001335e-140,0.31068428300661477,0.913,0.941,8.454452276643139e-136,16,RPS3A
6.465233662904344e-140,0.2947297768946189,0.591,0.343,2.366340172959619e-135,16,EIF1B
8.1402699718482e-140,0.4466577963508618,0.874,0.661,2.97942021239616e-135,16,HNRNPA2B1
8.589012785601612e-140,0.2929504470394806,0.377,0.186,3.143664569658046e-135,16,SRSF4
2.1698882871292025e-139,0.2557062848130819,0.327,0.154,7.942008119721594e-135,16,NME1
7.915304920756977e-139,0.375253176119163,0.331,0.157,2.897080754046261e-134,16,UBE3A
5.644142755278981e-138,0.32981763914348883,0.313,0.144,2.06581268985966e-133,16,CYLD
7.817548612841012e-138,0.30971503550433965,0.684,0.438,2.8613009677859387e-133,16,SUB1
1.8333346138048929e-137,0.27377483175315853,0.484,0.262,6.710188019987289e-133,16,PSMD8
2.1167447336892037e-137,0.3956816977254741,0.271,0.12,7.747497399775854e-133,16,ADAM15
3.1066525302343624e-137,0.2820477573060204,0.307,0.142,1.137065892591079e-132,16,RNF167
